Time,Velocity,Acceleration
641.757977,235.5440749152616,-592.0106310636211
641.777923,233.30506279629523,-112.2536909137607
641.798062,231.631678049927,-83.09174965840283
641.817946,244.55652258041312,650.0122978503005
641.837989,232.50940324147652,-601.063680035147
641.857901,243.10313595652,532.0275570036116
641.877955,237.0913118834067,-299.78179281397547
641.897946,253.8652524428037,839.0746115448552
641.917981,233.9276840084851,-995.136932084427
641.937993,245.73180422677476,589.8520996561191
641.957974,233.12777931392725,-630.8005061222522
641.977939,244.55652258041312,572.4389314555859
641.997926,246.71986938249157,108.23769460533681
642.01793,237.6422599358081,-453.7897143919362
642.037939,244.16725632879286,326.10307326508143
642.057953,245.43692606170262,63.439079290154794
642.077944,244.55652258041312,-44.03999206089269
642.098004,240.24757836893363,-214.80280216807137
642.117981,252.8192481064098,629.3071901412154
642.137979,237.0913118834067,-786.4754586965413
642.157977,250.8554027613477,688.2733712346264
642.177922,261.32551752736646,524.9493490105333
642.197951,246.71986938249157,-729.2250309480576
642.217958,245.83025446885276,-44.46518286801638
642.237949,243.00685748683424,-141.23340413275383
642.257985,250.8554027613477,391.72216383068803
642.277991,244.84928777105208,-300.2156848081329
642.297975,249.5292050240978,234.18320922073352
642.317932,254.60262039595705,254.21733586392145
642.337945,251.8851868449329,-135.78341832963994
642.357907,251.16345278520524,-36.15539824310946
642.37797,245.73180422677476,-270.72962958764447
642.397924,254.18074364302257,423.4208387418299
642.418011,248.31740799443807,-291.8970303473665
642.437925,243.00685748683424,-266.6742245461192
642.457946,258.89971103555126,793.8091777974781
642.477895,247.3165317026427,-580.6395976194485
642.49796,256.9482056759868,480.02362189496483
642.517977,247.71591245630057,-461.222621757227
642.537954,253.55054345217212,292.0674273344297
642.558156,270.54334883344643,841.1447075161102
642.578007,250.54810745375926,-1007.2662021955883
642.598003,256.19720883267496,282.5115712601514
642.617951,257.1635855633933,48.44479299771379
642.637928,257.27141096614525,5.397477236407499
642.657936,256.3042252106335,-48.339951794963
642.677956,262.78043475557024,323.4869902558538
642.697953,258.89971103555126,-194.0652957954212
642.717942,254.81408436638557,-204.393750020698
642.737943,249.22514831610744,-279.4328308726526
642.757959,248.92183170558073,-15.15370756024541
642.777968,257.1635855633933,411.90233683989453
642.798004,261.32551752736646,207.72269734339065
642.817928,258.89971103555126,-121.75298593695486
642.837932,262.1069265930186,160.32871213116806
642.857939,259.0089975324004,-154.84225824080545
642.877927,256.51852640228117,-124.59831549518186
642.897987,280.69181846031864,1205.0494545416223
642.917925,261.7714655094951,-948.9594217474241
642.937945,260.6594371938218,-55.54586991362566
642.957903,259.6666589734475,-49.74337210018991
642.977983,253.8652524428037,-288.9146678606442
642.997934,261.10311283159854,362.78183493548215
643.017968,253.13214321545234,-397.8720982401093
643.037975,260.3276687120308,359.65039719055096
643.057974,254.81408436638557,-275.69300193257396
643.077937,257.9202669837143,155.59698528863652
643.097944,253.23661376568572,-234.10072564787353
643.11823,257.8118971236372,225.53896075810735
643.137948,253.8652524428037,-200.15441124004357
643.157936,258.5724041947983,235.49888693308674
643.177941,260.3276687120308,87.74129053862627
643.197934,259.6666589734475,-33.06205864969268
643.218119,255.87669522696265,-187.76139442608815
643.238114,264.2516430466221,418.8521040090922
643.258016,256.51852640228117,-388.55977511507535
643.277922,263.11848848810314,331.55641946270987
643.297941,268.64812397296697,276.21936584498246
643.317911,259.6666589734475,-449.74787178491266
643.337978,262.8930227738888,160.77957843398823
643.357906,270.18595999747095,365.96433277827674
643.377897,264.2516430466221,-296.84942978577755
643.397957,270.54334883344643,313.6443562714961
643.417939,264.2516430466221,-314.8686711448167
643.437932,267.5936830153757,167.1605046142977
643.457934,258.89971103555126,-434.6551334783785
643.477927,255.87669522696265,-151.20371172853942
643.497972,258.68141448324474,139.92114024867143
643.517932,265.2798595565311,330.58342050584076
643.537963,264.59349510748444,-34.265111529433064
643.557948,262.78043475557024,-90.72105838941292
643.577948,262.44324856897197,-16.85930932992902
643.597929,271.2609704483893,441.3053340375445
643.617972,276.26848948863415,249.838798595426
643.637938,259.3374113078007,-847.9955013959963
643.657943,273.92514069386453,729.2041682581046
643.677975,266.4317477873454,-374.0711315173809
643.697992,266.08513233055356,-17.31605419348121
643.717934,259.6666589734475,-321.85705330966636
643.737906,268.64812397296697,449.70283394487154
643.75802,268.64812397296697,0.0
643.777954,262.1069265930186,-328.1427400389762
643.798049,271.7415036112739,479.45145649514825
643.817943,274.29249671625234,128.22927038180367
643.837959,266.7792674583724,-375.36117395593334
643.857928,268.7657972642385,99.48068535530682
643.877943,260.438164326934,-416.0695946703878
643.897947,265.39459998021476,247.77222821733747
643.917931,261.43686201715235,-198.0453344215638
643.937958,269.4740075337095,401.3154999024399
643.957954,276.76694413814005,364.7197741765111
643.977911,271.2609704483893,-275.89185196959426
643.997903,261.43686201715235,-491.4019823547394
644.017927,269.8295141399545,419.1296505587048
644.038005,257.9202669837143,-593.1490764136312
644.057941,261.43686201715235,176.39421315373107
644.078007,272.82895293653024,567.7310335601654
644.097978,273.1933727311917,18.247448533395417
644.117932,274.04748332034677,42.80397860858764
644.137959,264.59349510748444,-472.06212677133004
644.157909,269.3557134127553,238.70768447479605
644.177929,267.94424242543954,-70.50304631970931
644.19797,273.68078285203234,286.2402288589666
644.217934,279.9235014389857,312.69878716520543
644.237967,276.39293475416963,-176.237542295907
644.257953,270.54334883344643,-292.6841749583798
644.277984,262.8930227738888,-381.924320283285
644.297902,259.6666589734475,-161.9823175233007
644.317944,274.7838401944722,754.2750833765409
644.337975,266.7792674583724,-399.60924247880445
644.357936,272.82895293653024,303.0752706862379
644.377941,273.1933727311917,18.21643562419422
644.397917,267.5936830153757,-280.3208708352078
644.417939,277.5180077585963,495.67099906107313
644.437979,276.01993484222066,-74.75413754371479
644.457943,266.89530889702326,-457.0539944508185
644.477946,271.9824091995818,254.31686759811558
644.497963,290.38916950035804,919.5563921031064
644.517931,283.54543214152335,-342.73524433354345
644.537972,274.7838401944722,-437.18337144127855
644.557901,273.1933727311917,-79.80668690233944
644.57793,273.92514069386453,36.535421772032244
644.597974,274.7838401944722,42.8407254344604
644.617933,286.99359923024156,611.7420229363553
644.637966,269.3557134127553,-880.4415622959893
644.657982,265.9697941717627,-169.1606335432891
644.67794,276.26848948863415,516.0184044907355
644.697954,276.64216192707687,18.670552535411428
644.717937,271.9824091995818,-233.18584434215552
644.737984,269.8295141399545,-107.39238088640765
